school_full_name,common_name,team,city,state,type,conference
University of Delaware,Delaware,Fightin' Blue Hens,Newark,Delaware,Private-state hybrid,Colonial Athletic Association
Delaware State University,Delaware State,Hornets,Dover,Delaware,State,Mid-Eastern Athletic Conference
University of Denver,Denver,Pioneers,Denver,Colorado,Private/Non-sectarian,The Summit League
DePaul University,DePaul,Blue Demons,Chicago,Illinois,Private/Catholic,Big East Conference
University of Detroit Mercy,Detroit,Titans,Detroit,Michigan,Private/Catholic,Horizon League
Drake University,Drake,Bulldogs,Des Moines,Iowa,Private/Non-sectarian,Missouri Valley Conference
Drexel University,Drexel,Dragons,Philadelphia,Pennsylvania,Private/Non-sectarian,Colonial Athletic Association
Duke University,Duke,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
Duquesne University,Duequesne,Dukes,Pittsburgh,Pennsylvania,Private/Catholic,Atlantic 10 Conference
East Carolina University,East Carolina,Pirates,Greenville,North Carolina,State,American Athletic Conference
East Tennessee State University,East Tennessee State,Buccaneers,Johnson City,Tennessee,State,Southern Conference
Eastern Illinois University,Eastern Illinois,Panthers,Charleston,Illinois,State,Ohio Valley Conference
Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,Kentucky,State,Ohio Valley Conference
Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,Michigan,State,Mid-American Conference
Eastern Washington University,Eastern Washington,Eagles,Cheney,Washington,State,Big Sky Conference
Elon University,Elon,Phoenix,Elon,North Carolina,Private/Non-sectarian,Colonial Athletic Association
University of Evansville,Evansville,Purple Aces,Evansville,Indiana,Private/Methodist,Missouri Valley Conference
Fairfield University,Fairfield,Stags,Fairfield,Connecticut,Private/Catholic,Metro Atlantic Athletic Conference
Fairleigh Dickinson University,Fairleigh Dickinson,Knights,Hackensack,New Jersey,Private/Non-sectarian,Northeast Conference
University of Florida,Florida,Gators,Gainesville,Florida,State,Southeastern Conference
Florida A&M University,Florida A&M,Rattlers,Tallahassee,Florida,State,Mid-Eastern Athletic Conference
Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,Florida,State,Conference USA
Florida Gulf Coast University,FGCU,Eagles,Fort Myers,Florida,State,Atlantic Sun Conference
Florida International University,FIU,Panthers,Miami,Florida,State,Conference USA
Florida State University,Florida State,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference
Fordham University,Fordham,Rams,Bronx,New York,Private/Catholic,Atlantic 10 Conference
Furman University,Furman,Paladins,Greenville,South Carolina,Private/Non-sectarian,Southern Conference
Gardner-Webb University,Gardner-Webb,Runnin' Bulldogs,Boiling Springs,North Carolina,Private/Baptist,Big South Conference
George Mason University,George Mason,Patriots,Fairfax,Virginia,State,Atlantic 10 Conference
George Washington University,George Washington,Colonials,Washington,District of Columbia,Private/Non-sectarian,Atlantic 10 Conference
Georgetown University,Georgetown,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference
University of Georgia,Georgia,Bulldogs,Athens,Georgia,State,Southeastern Conference
Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,Georgia,State,Atlantic Coast Conference
Georgia Southern University,Georgia Southern,Eagles,Statesboro,Georgia,State,Sun Belt Conference
Georgia State University,Georgia State,Panthers,Atlanta,Georgia,State,Sun Belt Conference
Gonzaga University,Gonzaga,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference
Grambling State University,Grambling,Tigers,Grambling,Louisiana,State,Southwestern Athletic Conference
Grand Canyon University,Grand Canyon,Antelopes,Phoenix,Arizona,Private/Christian,Western Athletic Conference
Hampton University,Hampton,Pirates,Hampton,Virginia,Private/Non-sectarian,Big South Conference
University of Hartford,Hartford,Hawks,West Hartford,Connecticut,Private/Non-sectarian,America East Conference
Harvard University,Harvard,Crimson,Cambridge,Massachusetts,Private/Non-sectarian,Ivy League
University of Hawaii at Manoa,Hawaii,Rainbow Warriors,Honolulu,Hawaii,State,Big West Conference
High Point University,High Point,Panthers,High Point,North Carolina,Private/Methodist,Big South Conference
Hofstra University,Hofstra,Pride,Hempstead,New York,Private/Non-sectarian,Colonial Athletic Association
College of the Holy Cross,Holy Cross,Crusaders,Worcester,Massachusetts,Private/Catholic,Patriot League
University of Houston,Houston,Cougars,Houston,Texas,State,American Athletic Conference
Houston Baptist University,Houston Baptist,Huskies,Houston,Texas,Private/Baptist,Southland Conference
Howard University,Howard,Bison,Washington,District of Columbia,Private/Non-sectarian,Mid-Eastern Athletic Conference
University of Idaho,Idaho,Vandals,Moscow,Idaho,State,Big Sky Conference
Idaho State University,Idaho State,Bengals,Pocatello,Idaho,State,Big Sky Conference
University of Illinois at Chicago,UIC,Flames,Chicago,Illinois,State,Horizon League
Illinois State University,Illinois State,Redbirds,Normal,Illinois,State,Missouri Valley Conference
University of Illinois at Urbana-Champaign,Illinois,Fighting Illini,Urbana-Champaign,Illinois,State,Big Ten Conference
University of the Incarnate Word,Incarnate Word,Cardinals,San Antonio,Texas,Private/Catholic,Southland Conference
Indiana University,Indiana,Hoosiers,Bloomington,Indiana,State,Big Ten Conference
Indiana State University,Indiana State,Sycamores,Terre Haute,Indiana,State,Missouri Valley Conference
Indiana University - Purdue University Indianapolis,IUPUI,Jaguars,Indianapolis,Indiana,State,Horizon League
Iona College,Iona,Gaels,New Rochelle,New York,Private/Catholic,Metro Atlantic Athletic Conference
University of Iowa,Iowa,Hawkeyes,Iowa City,Iowa,State,Big Ten Conference
Iowa State University,Iowa State,Cyclones,Ames,Iowa,State,Big 12 Conference
Jackson State University,Jackson State,Tigers,Jackson,Mississippi,State,Southwestern Athletic Conference
Jacksonville University,Jacksonville,Dolphins,Jacksonville,Florida,Private/Non-Sectarian,Atlantic Sun Conference
Jacksonville State University,Jacksonville State,Gamecocks,Jacksonville,Alabama,State,Ohio Valley Conference
James Madison University,James Madison,Dukes,Harrisonburg,Virginia,State,Colonial Athletic Association
University of Kansas,Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference
Kansas State University,Kansas State,Wildcats,Manhattan,Kansas,State,Big 12 Conference
Kennesaw State University,Kennesaw State,Owls,Kennesaw,Georgia,State,Atlantic Sun Conference
Kent State University,Kent State,Golden Flashes,Kent,Ohio,State,Mid-American Conference
University of Kentucky,Kentucky,Wildcats,Lexington,Kentucky,State,Southeastern Conference
La Salle University,La Salle,Explorers,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
Lafayette College,Lafayette,Leopards,Easton,Pennsylvania,Private/Presbyterian,Patriot League
Lamar University,Lamar,Cardinals,Beaumont,Texas,State,Southland Conference
Lehigh University,Lehigh,Mountain Hawks,Bethlehem,Pennsylvania,Private/Non-Sectarian,Patriot League
Liberty University,Liberty,Flames,Lynchburg,Virginia,Private/Christian,Atlantic Sun Conference
Lipscomb University,Lipscomb,Bisons,Nashville,Tennessee,Private/Churches of Christ,Atlantic Sun Conference
Long Island University,LIU,Sharks,Brooklyn,New York,Private/Non-Sectarian,Northeast Conference
Longwood University,Longwood,Lancers,Farmville,Virginia,State,Big South Conference
University of Louisiana at Lafayette,Louisiana,Ragin' Cajuns,Lafayette,Louisiana,State,Sun Belt Conference
University of Louisiana at Monroe,Louisiana-Monroe,Warhawks,Monroe,Louisiana,State,Sun Belt Conference
Louisiana State University,LSU,Tigers,Baton Rouge,Louisiana,State,Southeastern Conference
Louisiana Tech University,Louisiana Tech,Bulldogs,Ruston,Louisiana,State,Conference USA
University of Louisville,Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference
Loyola University Chicago,Loyola-Chicago,Ramblers,Chicago,Illinois,Private/Catholic,Missouri Valley Conference
Loyola University Maryland,Loyola (MD),Greyhounds,Baltimore,Maryland,Private/Catholic,Patriot League
Loyola Marymount University,Loyola Marymount,Lions,Los Angeles,California,Private/Catholic,West Coast Conference
University of Maine,Maine,Black Bears,Orono,Maine,State,America East Conference
Manhattan College,Manhattan,Jaspers,Riverdale,New York,Private/Catholic,Metro Atlantic Athletic Conference
Marist College,Marist,Red Foxes,Poughkeepsie,New York,Private/Catholic,Metro Atlantic Athletic Conference
Marquette University,Marquette,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference
Marshall University,Marshall,Thundering Herd,Huntington,West Virginia,State,Conference USA
"University of Maryland, Baltimore County",UMBC,Retrievers,Catonsville,Maryland,State,America East Conference
"University of Maryland, College Park",Maryland,Terrapins,College Park,Maryland,State,Big Ten Conference
University of Maryland Eastern Shore,Maryland Eastern Shore,Hawks,Princess Anne,Maryland,State,Mid-Eastern Athletic Conference
University of Massachusetts Amherst,UMass,Minutemen,Amherst,Massachusetts,State,Atlantic 10 Conference
University of Massachusetts Lowell,UMass Lowell,River Hawks,Lowell,Massachusetts,State,America East Conference
McNeese State University,McNeese State,Cowboys,Lake Charles,Louisiana,State,Southland Conference
University of Memphis,Memphis,Tigers,Memphis,Tennessee,State,American Athletic Conference
Mercer University,Mercer,Bears,Macon,Georgia,Private/Non-Sectarian,Southern Conference
University of Miami,Miami (FL),Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference
Miami University,Miami (OH),Redhawks,Oxford,Ohio,State,Mid-American Conference
University of Michigan,Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference
Michigan State University,Michigan State,Spartans,East Lansing,Michigan,State,Big Ten Conference
Middle Tennessee State University,Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,State,Conference USA
University of Minnesota,Minnesota,Golden Gophers,Minneapolis-Saint Paul,Minnesota,State,Big Ten Conference
University of Mississippi,Ole Miss,Rebels,Oxford,Mississippi,State,Southeastern Conference
Mississippi State University,Mississippi State,Bulldogs,Starkville,Mississippi,State,Southeastern Conference
Mississippi Valley State University,Mississippi Valley State,Delta Devils,Itta Bena,Mississippi,State,Southwestern Athletic Conference
University of Missouri,Missouri,Tigers,Columbia,Missouri,State,Southeastern Conference
University of Missouri-Kansas City,Kansas City,Roos,Kansas City,Missouri,State,Western Athletic Conference
Missouri State University,Missouri State,Bears,Springfield,Missouri,State,Missouri Valley Conference
Monmouth University,Monmouth,Hawks,West Long Branch,New Jersey,Private/Non-Sectarian,Metro Atlantic Athletic Conference
University of Montana,Montana,Grizzlies,Missoula,Montana,State,Big Sky Conference
Montana State University,Montana State,Bobcats,Bozeman,Montana,State,Big Sky Conference
Morehead State University,Morehead State,Eagles,Morehead,Kentucky,State,Ohio Valley Conference
Morgan State University,Morgan State,Bears,Baltimore,Maryland,State,Mid-Eastern Athletic Conference
Mount St. Mary's University,Mount St. Mary's,Mountaineers,Emmitsburg,Maryland,Private/Catholic,Northeast Conference
Murray State University,Murray State,Racers,Murray,Kentucky,State,Ohio Valley Conference
University of Nebraska-Lincoln,Nebraska,Cornhuskers,Lincoln,Nebraska,State,Big Ten Conference
University of Nebraska Omaha,Omaha,Mavericks,Omaha,Nebraska,State,The Summit League
"University of Nevada, Las Vegas",UNLV,Rebels,Paradise,Nevada,State,Mountain West Conference
"University of Nevada, Reno",Nevada,Wolf Pack,Reno,Nevada,State,Mountain West Conference
University of New Hampshire,New Hampshire,Wildcats,Durham,New Hampshire,State,America East Conference
New Jersey Institute of Technology,NJIT,Highlanders,Newark,New Jersey,State,Atlantic Sun Conference
University of New Mexico,New Mexico,Lobos,Albuquerque,New Mexico,State,Mountain West Conference
New Mexico State University,New Mexico State,Aggies,Las Cruces,New Mexico,State,Western Athletic Conference
University of New Orleans,New Orleans,Privateers,New Orleans,Louisiana,State,Southland Conference
Niagara University,Niagara,Purple Eagles,Lewiston,New York,Private/Catholic,Metro Atlantic Athletic Conference
Nicholls State University,Nicholls,Colonels,Thibodaux,Louisiana,State,Southland Conference
Norfolk State University,Norfolk State,Spartans,Norfolk,Virginia,State,Mid-Eastern Athletic Conference
North Carolina Agricultural and Technical State University,North Carolina A&T,Aggies,Greensboro,North Carolina,State,Mid-Eastern Athletic Conference
University of North Carolina at Asheville,UNC Asheville,Bulldogs,Asheville,North Carolina,State,Big South Conference
North Carolina Central University,North Carolina Central,Eagles,Durham,North Carolina,State,Mid-Eastern Athletic Conference
University of North Carolina at Chapel Hill,North Carolina,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference
University of North Carolina at Charlotte,Charlotte,49ers,Charlotte,North Carolina,State,Conference USA
University of North Carolina at Greensboro,UNC Greensboro,Spartans,Greensboro,North Carolina,State,Southern Conference
North Carolina State University,NC State,Wolfpack,Raleigh,North Carolina,State,Atlantic Coast Conference
University of North Carolina at Wilmington,UNC Wilmington,Seahawks,Wilmington,North Carolina,State,Colonial Athletic Association
University of North Dakota,North Dakota,Fighting Hawks,Grand Forks,North Dakota,State,The Summit League
North Dakota State University,North Dakota State,Bison,Fargo,North Dakota,State,The Summit League
University of North Florida,North Florida,Ospreys,Jacksonville,Florida,State,Atlantic Sun Conference
University of North Texas,North Texas,Mean Green,Denton,Texas,State,Conference USA
Northeastern University,Northeastern,Huskies,Boston,Massachusetts,Private/Non-Sectarian,Colonial Athletic Association
Northern Arizona University,Northern Arizona,Lumberjacks,Flagstaff,Arizona,State,Big Sky Conference
University of Northern Colorado,Northern Colorado,Bears,Greeley,Colorado,State,Big Sky Conference
Northern Illinois University,Northern Illinois,Huskies,DeKalb,Illinois,State,Mid-American Conference
University of Northern Iowa,Northern Iowa,Panthers,Cedar Falls,Iowa,State,Missouri Valley Conference
Northern Kentucky University,Northern Kentucky,Norse,Highland Heights,Kentucky,State,Horizon League
Northwestern University,Northwestern,Wildcats,Evanston,Illinois,Private/Non-Sectarian,Big Ten Conference
Northwestern State University,Northwestern State,Demons,Natchitoches,Louisiana,State,Southland Conference
University of Notre Dame,Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference
Oakland University,Oakland,Golden Grizzlies,Rochester,Michigan,State,Horizon League
Ohio University,Ohio,Bobcats,Athens,Ohio,State,Mid-American Conference
The Ohio State University,Ohio State,Buckeyes,Columbus,Ohio,State,Big Ten Conference
University of Oklahoma,Oklahoma,Sooners,Norman,Oklahoma,State,Big 12 Conference
Oklahoma State University-Stillwater,Oklahoma State,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference
Old Dominion University,Old Dominion,Monarchs,Norfolk,Virginia,State,Conference USA
Oral Roberts University,Oral Roberts,Golden Eagles,Tulsa,Oklahoma,Private/Christian,The Summit League
University of Oregon,Oregon,Ducks,Eugene,Oregon,State,Pac-12 Conference
Oregon State University,Oregon State,Beavers,Corvallis,Oregon,State,Pac-12 Conference
University of the Pacific,Pacific,Tigers,Stockton,California,Private/Methodist,West Coast Conference
University of Pennsylvania,Penn,Quakers,Philadelphia,Pennsylvania,Private/Non-Sectarian,Ivy League
Pennsylvania State University,Penn State,Nittany Lions,State College,Pennsylvania,State-related,Big Ten Conference
Pepperdine University,Pepperdine,Waves,Malibu,California,Private/Churches of Christ,West Coast Conference
University of Pittsburgh,Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference
University of Portland,Portland,Pilots,Portland,Oregon,Private/Catholic,West Coast Conference
Portland State University,Portland State,Vikings,Portland,Oregon,State,Big Sky Conference
Prairie View A&M University,Prairie View A&M,Panthers,Prairie View,Texas,State,Southwestern Athletic Conference
Presbyterian College,Presbyterian,Blue Hose,Clinton,South Carolina,Private/Presbyterian,Big South Conference
Princeton University,Princeton,Tigers,Princeton,New Jersey,Private/Non-Sectarian,Ivy League
Providence College,Providence,Friars,Providence,Rhode Island,Private/Catholic,Big East Conference
Purdue University,Purdue,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference
Purdue University Fort Wayne,Purdue Fort Wayne,Mastodons,Fort Wayne,Indiana,State,The Summit League
Quinnipiac University,Quinnipiac,Bobcats,Hamden,Connecticut,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Radford University,Radford,Highlanders,Radford,Virginia,State,Big South Conference
University of Rhode Island,Rhode Island,Rams,Kingston,Rhode Island,State,Atlantic 10 Conference
Rice University,Rice,Owls,Houston,Texas,Private/Non-Sectarian,Conference USA
University of Richmond,Richmond,Spiders,Richmond,Virginia,Private/Non-Sectarian,Atlantic 10 Conference
Rider University,Rider,Broncs,Lawrenceville,New Jersey,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Robert Morris University,Robert Morris,Colonials,Moon Township,Pennsylvania,Private/Non-Sectarian,Northeast Conference
Rutgers University,Rutgers,Scarlet Knights,New Brunswick,New Jersey,State-private hybrid,Big Ten Conference
Sacred Heart University,Sacred Heart,Pioneers,Fairfield,Connecticut,Private/Catholic,Northeast Conference
St. Bonaventure University,St. Bonaventure,Bonnies,St. Bonaventure,New York,Private/Catholic,Atlantic 10 Conference
St. Francis College,St. Francis Brooklyn,Terriers,Brooklyn,New York,Private/Catholic,Northeast Conference
Saint Francis University,Saint Francis (PA),Red Flash,Loretto,Pennsylvania,Private/Catholic,Northeast Conference
St. John's University,St. John's,Red Storm,Jamaica,New York,Private/Catholic,Big East Conference
Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
Saint Louis University,Saint Louis,Billikens,St. Louis,Missouri,Private/Catholic,Atlantic 10 Conference
Saint Mary's College of California,Saint Mary's,Gaels,Moraga,California,Private/Catholic,West Coast Conference
Saint Peter's University,Saint Peter's,Peacocks,Jersey City,New Jersey,Private/Catholic,Metro Atlantic Athletic Conference
Sam Houston State University,Sam Houston State,Bearkats,Huntsville,Texas,State,Southland Conference
Samford University,Samford,Bulldogs,Homewood,Alabama,Private/Baptist,Southern Conference
University of San Diego,San Diego,Toreros,San Diego,California,Private/Catholic,West Coast Conference
San Diego State University,San Diego State,Aztecs,San Diego,California,State,Mountain West Conference
University of San Francisco,San Francisco,Dons,San Francisco,California,Private/Catholic,West Coast Conference
San Jose State University,San Jose State,Spartans,San Jose,California,State,Mountain West Conference
Santa Clara University,Santa Clara,Broncos,Santa Clara,California,Private/Catholic,West Coast Conference
Seattle University,Seattle,Redhawks,Seattle,Washington,Private/Catholic,Western Athletic Conference
Seton Hall University,Seton Hall,Pirates,South Orange,New Jersey,Private/Catholic,Big East Conference
Siena College,Siena,Saints,Loudonville,New York,Private/Catholic,Metro Atlantic Athletic Conference
University of South Alabama,South Alabama,Jaguars,Mobile,Alabama,State,Sun Belt Conference
University of South Carolina,South Carolina,Gamecocks,Columbia,South Carolina,State,Southeastern Conference
South Carolina State University,South Carolina State,Bulldogs,Orangeburg,South Carolina,State,Mid-Eastern Athletic Conference
University of South Carolina Upstate,USC Upstate,Spartans,Spartanburg,South Carolina,State,Big South Conference
University of South Dakota,South Dakota,Coyotes,Vermillion,South Dakota,State,The Summit League
South Dakota State University,South Dakota State,Jackrabbits,Brookings,South Dakota,State,The Summit League
University of South Florida,South Florida,Bulls,Tampa,Florida,State,American Athletic Conference
Southeast Missouri State University,Southeast Missouri,Redhawks,Cape Girardeau,Missouri,State,Ohio Valley Conference
Southeastern Louisiana University,Southeastern Louisiana,Lions,Hammond,Louisiana,State,Southland Conference
Southern University,Southern,Jaguars,Baton Rouge,Louisiana,State,Southwestern Athletic Conference
University of Southern California,USC,Trojans,Los Angeles,California,Private/Non-Sectarian,Pac-12 Conference
Southern Illinois University Carbondale,Southern Illinois,Salukis,Carbondale,Illinois,State,Missouri Valley Conference
Southern Illinois University Edwardsville,SIU Edwardsville,Cougars,Edwardsville,Illinois,State,Ohio Valley Conference
Southern Methodist University,SMU,Mustangs,University Park,Texas,Private/Methodist,American Athletic Conference
University of Southern Mississippi,Southern Miss,Golden Eagles,Hattiesburg,Mississippi,State,Conference USA
Southern Utah University,Southern Utah,Thunderbirds,Cedar City,Utah,State,Big Sky Conference
Stanford University,Stanford,Cardinal,Palo Alto,California,Private/Non-Sectarian,Pac-12 Conference
Stephen F. Austin State University,Stephen F. Austin,Lumberjacks,Nacogdoches,Texas,State,Southland Conference
Stetson University,Stetson,Hatters,DeLand,Florida,Private/Non-Sectarian,Atlantic Sun Conference
Stony Brook University,Stony Brook,Seawolves,Stony Brook,New York,State,America East Conference
Syracuse University,Syracuse,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference
Temple University,Temple,Owls,Philadelphia,Pennsylvania,State-related,American Athletic Conference
University of Tennessee,Tennessee,Volunteers,Knoxville,Tennessee,State,Southeastern Conference
University of Tennessee at Chattanooga,Chattanooga,Mocs,Chattanooga,Tennessee,State,Southern Conference
University of Tennessee at Martin,UT Martin,Skyhawks,Martin,Tennessee,State,Ohio Valley Conference
Tennessee State University,Tennessee State,Tigers,Nashville,Tennessee,State,Ohio Valley Conference
Tennessee Technological University,Tennessee Tech,Golden Eagles,Cookeville,Tennessee,State,Ohio Valley Conference
Texas A&M University,Texas A&M,Aggies,College Station,Texas,State,Southeastern Conference
Texas A&M University-Corpus Christi,Texas A&M-Corpus Christi,Islanders,Corpus Christi,Texas,State,Southland Conference
University of Texas at Arlington,Texas-Arlington,Mavericks,Arlington,Texas,State,Sun Belt Conference
University of Texas at Austin,Texas,Longhorns,Austin,Texas,State,Big 12 Conference
Texas Christian University,TCU,Horned Frogs,Fort Worth,Texas,Private/Disciples of Christ,Big 12 Conference
University of Texas at El Paso,UTEP,Miners,El Paso,Texas,State,Conference USA
University of Texas Rio Grande Valley,UTRGV,Vaqueros,Edinburg,Texas,State,Western Athletic Conference
University of Texas at San Antonio,UTSA,Roadrunners,San Antonio,Texas,State,Conference USA
